,full_text,weekday,month,day,hour,has_hashtag,has_url,like_count,is_reply,retweet_count,followers,following,user,screen_name
0,"RT @SkaKeller: The #EUelections2019 are #ClimateElections. Young people around the world are taking action, demanding climate justice.

As…",Thu,May,23,23,1,0,0,0,34,961,3276,VOTE EUROPEAN GREENS,VOTE_EU_GREENS
1,"RT @AnonsWorldwide: #EPP #SD #ALDE passed #copyrightdirective censorship &amp; surveillance law violating several laws:

- The e-commerce direc…",Thu,May,23,23,1,0,0,0,31,2499,2976,Catalan Way,CatalanWay_
2,"RT @AnonsWorldwide: #EPP #SD #ALDE passed #copyrightdirective censorship &amp; surveillance law violating several laws:

- The e-commerce direc…",Thu,May,23,23,1,0,0,0,31,231,367,Joseph,CaptainXtra
3,RT @AnonsWorldwide: #copyrightdirective #EPP #SD #ALDE passed violates existing #EU privacy laws as well as GDPR that says collecting perso…,Thu,May,23,23,1,0,0,0,25,13,72,Our culture is not for sale.,endart17now
4,"RT @AnonsWorldwide: In 2012 #ACTA law failed thanks to hundreds of thousands protested. It would turn internet into today's radio or TV, co…",Thu,May,23,23,1,0,0,0,40,154,717,R0ux,MichaelisRoux
5,"RT @AnonsWorldwide: #EPP #SD #ALDE passed #copyrightdirective censorship &amp; surveillance law violating several laws:

- The e-commerce direc…",Thu,May,23,23,1,0,0,0,31,99,78,Montserrat Vicens,Montplanet
6,"RT @AnonsWorldwide: #EPP #SD #ALDE passed #copyrightdirective censorship &amp; surveillance law violating several laws:

- The e-commerce direc…",Thu,May,23,23,1,0,0,0,31,4086,4723,hi,crisis187
7,"RT @AnonsWorldwide: #EPP #SD #ALDE passed #copyrightdirective censorship &amp; surveillance law violating several laws:

- The e-commerce direc…",Thu,May,23,22,1,0,0,0,31,36371,26912,Anonymous 🍀,YourMarkLubbers
8,"RT @AnonsWorldwide: #EPP #SD #ALDE passed #copyrightdirective censorship &amp; surveillance law violating several laws:

- The e-commerce direc…",Thu,May,23,22,1,0,0,0,31,885,2587,Anonymous Nederland,NLanonops
9,"RT @AnonsWorldwide: #EPP #SD #ALDE passed #copyrightdirective censorship &amp; surveillance law violating several laws:

- The e-commerce direc…",Thu,May,23,22,1,0,0,0,31,1197,1269,Anonymous DeleteFacebook,DeletedFacebook
10,"RT @AnonsWorldwide: #EPP #SD #ALDE passed #copyrightdirective censorship &amp; surveillance law violating several existing laws:

- The e-comme…",Thu,May,23,22,1,0,0,0,24,154,717,R0ux,MichaelisRoux
11,"RT @AnonsWorldwide: #EPP #SD #ALDE passed #copyrightdirective censorship &amp; surveillance law violating several laws:

- The e-commerce direc…",Thu,May,23,22,1,0,0,0,31,70,77,Scorp125,Scorp122
12,"RT @SkaKeller: The #EUelections2019 are #ClimateElections. Young people around the world are taking action, demanding climate justice.

As…",Thu,May,23,22,1,0,0,0,34,639,793,vince13👀8 ·🔻ت,vince13008
